year,data_mean_global
1394,699.5180037
1395,699.3160011
1396,699.1200031
1397,698.9380038
1398,698.762989
1399,698.5420359
1400,698.5660113
1401,698.5999854
1402,698.4389976
1403,698.3340331
1404,698.3109859
1405,698.3601017
1406,698.9120115
1407,699.3900197
1408,699.7640258
1409,700.2110458
1410,700.6169716
1411,700.840066
1412,701.1349613
1413,701.2980871
1414,701.6089434
1415,701.8091557
1416,702.5389226
1417,702.6710133
1418,702.6860055
1419,702.630979
1420,702.3609796
1421,701.9920121
1422,701.7090145
1423,701.6970764
1424,701.8619225
1425,701.7641181
1426,701.9848991
1427,701.7160373
1428,701.3148823
1429,700.5931001
1430,700.1318376
1431,699.4432565
1432,699.9599037
1433,700.1560977
1434,700.6350218
1435,701.2220667
1436,701.8039422
1437,701.9000261
1438,701.9660128
1439,702.0720263
1440,702.2750392
1441,702.6590528
1442,703.152996
1443,703.5000405
1444,703.8620031
1445,704.1300288
1446,704.4510396
1447,704.7859663
1448,704.8100104
1449,704.7680036
1450,704.7320125
1451,704.6279484
1452,704.3540872
1453,704.5109962
1454,704.6379967
1455,704.6190056
1456,704.5740078
1457,704.5340075
1458,704.4960063
1459,704.4460032
1460,704.4290448
1461,704.6060064
1462,704.7640156
1463,704.885005
1464,704.9870356
1465,705.1809996
1466,705.3200319
1467,705.5210108
1468,705.6870049
1469,705.8861026
1470,706.5580247
1471,707.2700645
1472,708.0720418
1473,708.8670306
1474,709.5150093
1475,709.9900491
1476,710.5110133
1477,710.9540489
1478,711.5060597
1479,712.1359617
1480,712.380085
1481,712.8759923
1482,713.2000157
1483,713.3029448
1484,713.2742575
1485,714.666026
1486,716.0841259
1487,717.6460613
1488,718.8968228
1489,718.5620593
1490,718.3989888
1491,718.2450137
1492,718.0509927
1493,717.8480347
1494,717.7849843
1495,717.7171357
1496,718.4290316
1497,719.1450378
1498,719.7620454
1499,720.4050235
1500,720.9060355
1501,721.4300525
1502,721.9930274
1503,722.550061
1504,723.1590197
1505,723.7100621
1506,724.2950035
1507,724.6970434
1508,725.0750026
1509,725.2810283
1510,725.5060381
1511,725.8160308
1512,726.1260237
1513,726.4220373
1514,726.7440197
1515,727.01203
1516,727.2960324
1517,727.5870175
1518,727.8100313
1519,728.1190511
1520,728.4599929
1521,728.7471079
1522,729.4310304
1523,730.1130546
1524,730.7830291
1525,731.4020603
1526,732.0210026
1527,732.4200387
1528,732.793028
1529,733.1330327
1530,733.5080459
1531,733.8219567
1532,733.7120118
1533,733.5560224
1534,733.4219821
1535,733.1810269
1536,732.9549674
1537,732.6320625
1538,732.6320198
1539,732.6339703
1540,732.4400379
1541,732.1768899
1542,731.3620179
1543,730.6179681
1544,729.8940122
1545,729.3450067
1546,728.9139927
1547,728.566048
1548,728.4269688
1549,728.2180714
1550,728.4280632
1551,728.5637762
1552,727.3849895
1553,726.0128923
1554,724.3899425
1555,722.6679087
1556,721.0270695
1557,720.0769336
1558,719.1109793
1559,718.1699731
1560,717.2659498
1561,716.321009
