year,data_mean_global,data_mean_nh,data_mean_sh
339,663.163046537748,680.251960152552,646.074132922945
340,662.946985497987,679.956975080534,645.93699591544
341,662.723021657787,679.679416190526,645.766627125048
342,662.550986968554,679.453727592854,645.648246344253
343,662.320014866928,679.16916926679,645.470860467065
344,662.124995819451,678.92049461173,645.329497027172
345,661.914011341411,678.655899323352,645.17212335947
346,661.726997221123,678.41524477108,645.038749671165
347,661.530013803216,678.164638150565,644.895389455866
348,661.33697672772,677.917993323733,644.755960131706
349,661.038023478293,677.565470921221,644.510576035366
350,660.881023592723,677.354708119998,644.407339065448
351,660.800972921583,677.221051894412,644.380893948754
352,660.591039364409,676.957341170376,644.224737558442
353,660.492971839483,676.804066783148,644.181876895818
354,660.257014960661,676.512897045745,644.001132875577
355,660.024985454913,676.225489015623,643.824481894203
356,659.752019235331,675.89722226591,643.606816204752
357,659.564998033696,675.654782661713,643.475213405679
358,659.275934962372,675.259865693463,643.292004231281
359,658.619990871412,674.194205291139,643.045776451684
360,657.906953370861,673.020548039786,642.793358701936
361,657.085985006927,671.739080684587,642.432889329267
362,656.245942830608,670.438445756507,642.05343990471
363,655.532170508704,669.361357332183,641.702983685224
364,655.797945832902,669.848021783264,641.74786988254
365,655.940082025779,670.309504443661,641.570659607896
366,656.195926476599,670.85580198125,641.536050971948
367,656.034031436506,670.815017242679,641.253045630332
368,655.871980455817,670.745143345902,640.998817565733
369,655.655014180707,670.620665060956,640.689363300458
370,655.486012436608,670.543917588619,640.428107284598
371,655.344967122891,670.495270939333,640.194663306449
372,655.095082916366,670.337788563782,639.85237726895
373,655.10786572728,670.398727491606,639.817003962955
374,654.385008727591,669.46087936753,639.309138087652
375,653.69200925666,668.507828201441,638.876190311879
376,653.23196245381,667.788101303454,638.675823604166
377,652.621993238471,666.918552266039,638.325434210903
378,652.094024432049,666.151159164127,638.036889699972
379,651.803984402515,665.744029489029,637.863939316002
380,651.472996510415,665.316569194424,637.629423826406
381,651.155017328502,664.909155163458,637.400879493545
382,650.961983750737,664.669892101422,637.254075400051
383,650.675993220028,664.345049497282,637.006936942773
384,650.362010491698,663.992065275866,636.731955707531
385,650.134988932913,663.726031798678,636.543946067147
386,649.863004722226,663.41514656474,636.310862879712
387,649.627001578274,663.140113011637,636.11389014491
388,649.418998599478,662.893162594231,635.944834604724
389,649.204004440309,662.639198524745,635.768810355874
390,649.003986267891,662.400209864103,635.60776267168
391,648.74101993002,662.102787707357,635.379252152682
392,648.602996657,661.956798645981,635.24919466802
393,648.449004664379,661.799536825547,635.098472503211
394,648.278986331983,661.626091863401,634.931880800564
395,648.115097334604,661.513661256437,634.716533412772
396,648.538001485595,662.316200820933,634.759802150257
397,648.8770489747,663.090657913986,634.663440035415
398,649.319019832858,663.967223504694,634.670816161022
399,649.729032473095,664.812539998354,634.645524947835
400,650.1320390493,665.650345182323,634.613732916277
401,650.517015819308,666.470469638219,634.563562000398
402,650.941062339979,667.329266471887,634.552858208071
403,651.38596158983,668.175630547229,634.596292632431
404,651.49403733842,668.482183806824,634.505890870016
405,651.567986245498,668.721007476859,634.414965014137
406,651.616061269107,668.93355057205,634.298571966163
407,651.725903755262,669.142979638033,634.308827872491
408,651.135983544432,668.260757355358,634.011209733506
409,650.553016904047,667.319535079892,633.786498728202
410,649.998941267653,666.407672093735,633.590210441571
411,649.448120854329,665.570234745852,633.326006962806
412,649.624003167501,665.890003933992,633.35800240101
413,649.821029309908,666.302965881809,633.339092738008
414,650.033016386513,666.730867865922,633.335164907104
415,650.236025667754,667.149769384848,633.32228195066
416,650.421014263883,667.550728401864,633.291300125902
417,650.666072319575,668.038984558724,633.293160080426
418,651.149018834757,668.929793450392,633.368244219122
419,651.618052585325,669.834160640561,633.401944530089
420,652.128021739036,670.779514374438,633.476529103633
421,652.641063837486,671.727820209921,633.554307465051
422,653.131950968946,672.610649551666,633.653252386225
423,653.162028338203,672.771237476076,633.552819200331
424,653.193021702789,672.888879894175,633.497163511402
425,653.264017778746,673.046583730346,633.481451827147
426,653.34602799638,673.215291856814,633.476764135947
427,653.490023153029,673.445949980627,633.534096325431
428,653.584992567748,673.627726754226,633.54225838127
429,653.61306552338,673.751398596252,633.474732450509
430,653.857008714738,674.144520790675,633.5694966388
431,654.083044535101,674.528773160588,633.637315909614
432,654.341006753991,674.94496400633,633.737049501653
433,654.605075967579,675.367151790905,633.843000144252
